2009-09,2010-03,2012-01,2012-11,2014-04,2009-06,2009-08,2010-06,2010-08,2010-10,2011-06,2011-07,2011-10,2012-03,2012-07,2012-09,2013-05,2013-09,2009-11,2011-03,2011-11,2011-12,2013-01,2013-12,2014-05,2009-07,2009-12,2010-01,2010-05,2010-07,2010-11,2010-12,2011-01,2011-09,2013-04,2013-06,2013-07,2014-07,2009-02,2009-03,2009-10,2010-04,2011-02,2011-04,2012-08,2012-12,2013-03,2014-01,2014-06,2010-09,2011-05,2012-04,2012-10,2013-08,2013-10,2013-11,2014-03,2009-05,2012-06,2011-08,2012-05,2012-02,2013-02,2014-02,2010-02,2009-04,2009-01,plz,lat,lon
289.02,34.16,27.34,58.29,9.99,45.45,16.16,235.19,10.17,248.07,25.48,71.75,,87.4,563.76,5.32,4.49,4.88,102.94,45.42,39.4,253.24,11.18,6.86,35.05,53.95,22.38,235.9,22.82,135.39,12.16,133.5,1352.09,99.61,24.75,,,50.52,,11.13,66.83,4.2,35.08,33.13,26.52,4.5,,13.75,,35.52,20.79,33.86,13.16,,16.75,182.92,155.56,12.2,19.55,4.8,119.1,38.75,13.72,78.77,,4.72,,52076,6.15,50.715
,,,,,,,3.6,,3.99,12.58,,,,3.99,,,,,,,105.44,,,,,,,,,,,,,,,,,,4.32,,,,,,,6.86,,,12.21,,,,,,3.46,,,3.99,2.86,,,,,,9.45,,52064,6.079,50.767
30.8,307.32,131.34,35.91,7.74,,19.0,181.66,20.71,14.66,14.6,95.91,7.88,51.66,19.53,20.24,183.67,52.19,3.99,60.78,281.2,536.99,40.38,58.33,,61.39,125.44,7.65,153.01,16.92,17.4,137.0,16.15,34.33,22.5,4.16,11.0,198.58,,23.74,50.44,56.48,31.74,10.58,7.22,9.36,14.86,10.1,18.42,221.43,169.96,13.3,288.5,14.37,23.36,16.21,21.36,8.1,9.84,94.58,153.64,7.72,,15.0,,4.86,,41372,6.154,51.205
10.08,,,,,4.4,,17.93,170.28,,4.14,,,79.2,29.61,,,,4.72,,,2.7,,,4.0,4.2,175.92,40.55,27.0,9.4,56.0,,,6.5,,,,,7.48,11.52,29.15,,,24.24,,,,27.84,,24.5,,,8.32,29.84,,,,,28.32,15.02,,,,,,,,52070,6.096,50.794
3.49,,,10.4,18.13,,,17.48,,,3.22,4.72,,95.85,,9.68,,10.86,,,6.04,120.65,,,,,11.35,,4.0,2.48,,29.6,,53.76,9.75,4.77,,,13.5,1.08,5.94,,38.94,,7.17,,6.27,4.94,,1.66,104.99,,20.84,,,,,,135.19,,,,12.1,,,,,52066,6.105,50.758
21.45,108.28,1.88,89.98,7.14,74.53,120.73,740.58,12.4,,129.46,52.13,112.52,720.42,5.6,105.69,6.02,52.73,143.0,224.64,221.94,710.37,21.03,40.1,,136.27,1615.09,223.0,291.63,33.29,43.0,307.58,18.96,50.83,223.08,15.67,66.08,27.54,,,33.5,112.68,7.07,5.88,,16.68,46.89,89.62,68.75,110.54,134.33,14.4,87.56,30.49,64.95,8.78,11.19,47.43,517.5,3.51,6.44,103.91,5.26,,7.82,92.6,,41379,6.164,51.263
,,,,,10.6,,40.38,,,,,,,,,,,,,,4.0,,,,,4.35,,,,,,,,4.9,,,,,9.8,,9.8,,,,,,,,,,,,,,,,,,,4.62,,,,,,,52062,6.086,50.777
43.56,100.91,9.49,41.78,191.1,11.76,103.71,284.89,22.16,46.76,108.28,47.02,93.85,200.34,15.98,22.86,7.99,62.56,72.28,94.0,90.84,289.52,49.36,37.58,20.98,69.48,98.87,2.3,58.28,61.68,64.08,34.74,,142.38,20.84,61.96,7.84,97.02,,14.28,19.48,28.5,16.53,20.91,60.98,99.89,39.98,41.88,38.93,110.88,30.58,40.75,31.74,14.84,9.5,,34.74,35.66,46.68,41.13,12.75,27.89,7.2,7.27,58.04,54.0,,41849,6.145,51.113
17.32,49.15,36.6,39.9,,29.4,21.24,148.47,4.0,3.45,135.92,137.14,21.42,796.51,9.44,14.28,9.14,43.96,215.8,51.02,71.94,238.6,12.18,26.76,9.6,17.34,99.8,,31.62,,31.77,12.21,,50.57,10.54,11.72,36.28,78.24,12.0,6.75,,123.33,2.86,1.95,65.11,110.96,6.86,51.76,5.52,61.54,18.69,10.0,91.03,,55.17,27.63,38.3,13.5,,23.66,8.64,31.94,22.75,14.56,20.16,36.62,,52146,6.151,50.827
44.1,102.0,17.1,9.6,,40.36,173.84,1781.82,243.96,,259.84,103.23,37.8,544.23,,21.84,32.99,20.25,127.68,153.12,87.38,15018.18,29.89,,16.2,68.22,548.55,,5.58,218.83,92.35,289.52,3.76,31.41,30.95,4.9,7.25,30.0,,38.7,70.02,222.37,,19.74,29.96,,,5.36,,246.66,79.0,19.68,34.99,14.56,20.52,8.48,31.98,82.17,749.49,98.01,14.82,29.9,15.12,9.0,23.67,73.44,,47652,6.182,51.621
