2009-9,2010-3,2012-1,2012-11,2014-4,2009-6,2009-8,2010-6,2010-8,2010-10,2011-6,2011-7,2011-10,2012-3,2012-7,2012-9,2013-5,2013-9,2009-11,2011-3,2011-11,2011-12,2013-1,2013-12,2014-5,2009-7,2009-12,2010-1,2010-5,2010-7,2010-11,2010-12,2011-1,2011-9,2013-4,2013-6,2013-7,2014-7,2009-2,2009-3,2009-10,2010-4,2011-2,2011-4,2012-8,2012-12,2013-3,2014-1,2014-6,2010-9,2011-5,2012-4,2012-10,2013-8,2013-10,2013-11,2014-3,2009-5,2012-6,2011-8,2012-5,2012-2,2013-2,2014-2,2010-2,2009-4,2009-1,plz,lat,lon
289.02,34.155,27.344,58.294999999999995,9.99,45.449999999999996,16.164,235.19000000000003,10.17,248.07,25.48,71.74600000000001,,87.405,563.76,5.32,4.485,4.875,102.93999999999998,45.425,39.4,253.24200000000002,11.18,6.86,35.05,53.949999999999996,22.38,235.9,22.82,135.39000000000001,12.164,133.505,1352.09,99.608,24.75,,,50.519999999999996,,11.129999999999999,66.835,4.2,35.08,33.13,26.52,4.5,,13.75,,35.519999999999996,20.79,33.86,13.16,,16.75,182.915,155.555,12.205,19.55,4.8,119.1,38.75,13.719999999999999,78.77,,4.725,,52076,6.15,50.715
,,,,,,,3.6,,3.99,12.58,,,,3.99,,,,,,,105.44,,,,,,,,,,,,,,,,,,4.32,,,,,,,6.859999999999999,,,12.21,,,,,,3.465,,,3.99,2.856,,,,,,9.45,,52064,6.079,50.767
30.8,307.315,131.34,35.91,7.734999999999999,,19.0,181.66000000000003,20.71,14.66,14.6,95.91000000000001,7.88,51.66,19.53,20.24,183.674,52.19499999999999,3.99,60.78,281.198,536.99,40.37500000000001,58.33,,61.39,125.44,7.65,153.01,16.92,17.395,137.0,16.15,34.325,22.5,4.165,11.0,198.575,,23.740000000000002,50.44,56.480000000000004,31.74,10.58,7.215,9.36,14.86,10.1,18.42,221.43499999999995,169.956,13.3,288.505,14.370000000000001,23.36,16.21,21.36,8.1,9.84,94.57500000000002,153.636,7.725,,15.0,,4.86,,41372,6.154,51.205
10.08,,,,,4.4,,17.93,170.28,,4.14,,,79.2,29.61,,,,4.725,,,2.7,,,4.0,4.2,175.92000000000002,40.55,27.0,9.4,56.0,,,6.5,,,,,7.48,11.52,29.15,,,24.24,,,,27.84,,24.5,,,8.32,29.835,,,,,28.32,15.015,,,,,,,,52070,6.096,50.794
3.49,,,10.395,18.132,,,17.479999999999997,,,3.225,4.725,,95.849,,9.675,,10.86,,,6.045,120.653,,,,,11.35,,4.0,2.475,,29.6,,53.754999999999995,9.75,4.77,,,13.5,1.08,5.94,,38.94,,7.17,,6.27,4.94,,1.665,104.99000000000001,,20.84,,,,,,135.19,,,,12.1,,,,,52066,6.105,50.758
21.450000000000003,108.28,1.88,89.97500000000001,7.14,74.53,120.73000000000002,740.58,12.4,,129.46,52.13000000000001,112.518,720.425,5.6,105.69,6.025,52.73499999999999,143.0,224.64,221.945,710.3700000000001,21.029999999999998,40.1,,136.27,1615.09,223.0,291.63,33.29,42.995000000000005,307.58,18.96,50.83,223.08,15.67,66.08,27.544999999999998,,,33.5,112.68,7.07,5.875,,16.68,46.89,89.62,68.75,110.53999999999999,134.32500000000002,14.399999999999999,87.55999999999999,30.49,64.95,8.775,11.19,47.42999999999999,517.5,3.51,6.44,103.912,5.265,,7.82,92.6,,41379,6.164,51.263
,,,,,10.6,,40.379999999999995,,,,,,,,,,,,,,4.0,,,,,4.35,,,,,,,,4.9,,,,,9.8,,9.8,,,,,,,,,,,,,,,,,,,4.62,,,,,,,52062,6.086,50.777
43.56,100.91,9.49,41.78000000000001,191.1,11.76,103.71000000000001,284.88500000000005,22.160000000000004,46.754999999999995,108.285,47.02,93.85499999999999,200.335,15.98,22.86,7.99,62.559999999999995,72.28,94.0,90.845,289.51500000000004,49.36,37.58,20.98,69.48,98.86999999999999,2.3,58.28,61.675,64.08,34.739999999999995,,142.37999999999997,20.84,61.955,7.84,97.02,,14.280000000000001,19.48,28.495,16.53,20.91,60.975,99.89,39.975,41.88,38.93,110.885,30.585,40.75,31.744999999999997,14.834999999999999,9.5,,34.739999999999995,35.66,46.67999999999999,41.12500000000001,12.75,27.89,7.2,7.27,58.035000000000004,54.0,,41849,6.145,51.113
17.32,49.15,36.603,39.9,,29.4,21.240000000000002,148.47,3.995,3.45,135.92000000000002,137.14,21.42,796.51,9.435,14.280000000000001,9.14,43.96,215.79999999999998,51.015,71.945,238.60000000000002,12.175,26.765,9.595,17.34,99.8,,31.619999999999997,,31.766000000000002,12.21,,50.57,10.535,11.719999999999999,36.28,78.241,12.0,6.75,,123.33,2.862,1.95,65.115,110.965,6.86,51.755,5.52,61.545,18.689999999999998,10.0,91.03000000000002,,55.17,27.629999999999995,38.300000000000004,13.5,,23.66,8.64,31.94,22.750000000000004,14.56,20.16,36.62,,52146,6.151,50.827
44.1,102.0,17.1,9.6,,40.365,173.83999999999997,1781.8150000000003,243.96,,259.84000000000003,103.23,37.8,544.23,,21.84,32.99,20.25,127.68,153.115,87.375,15018.18,29.89,,16.200000000000003,68.22,548.55,,5.58,218.83,92.35,289.52,3.76,31.41,30.950000000000003,4.9,7.25,30.0,,38.7,70.02,222.37199999999999,,19.740000000000002,29.955000000000002,,,5.355,,246.65500000000003,79.004,19.68,34.995,14.56,20.525,8.48,31.982,82.17,749.4949999999999,98.01100000000001,14.82,29.9,15.12,9.0,23.67,73.44,,47652,6.182,51.621
,,35.43,5.0,,20.2,,10.85,,,592.68,219.3,,139.59,,,,,,,,71.525,,,10.92,,,,,39.620000000000005,,,,32.9,,,,140.0,,,13.925,16.605,,,8.74,,,,29.07,,678.0,48.0,8.74,,98.1,,,,35.43,,,,,,,,,52068,6.126,50.78
